"CUST_ID","CUST_GENDER","CUST_YEAR_OF_BIRTH","CUST_MARITAL_STATUS","CUST_INCOME_LEVEL","CUST_CREDIT_LIMIT"
"18338","M","1952","married","&quot;G: 130,000 - 149,999&quot;","1500"
"1","M","1946","","&quot;G: 130,000 - 149,999&quot;","9000"
"21893","M","1955","","&quot;G: 130,000 - 149,999&quot;","7000"
"25450","M","1950","single","&quot;G: 130,000 - 149,999&quot;","9000"
"29005","M","1947","married","&quot;G: 130,000 - 149,999&quot;","3000"
"32560","M","1952","","&quot;G: 130,000 - 149,999&quot;","7000"
"38783","M","1963","single","&quot;G: 130,000 - 149,999&quot;","9000"
"42338","M","1969","married","&quot;G: 130,000 - 149,999&quot;","1500"
"16570","M","1958","","&quot;G: 130,000 - 149,999&quot;","7000"
"46116","M","1985","single","&quot;G: 130,000 - 149,999&quot;","9000"
"6787","F","1945","","&quot;B: 30,000 - 49,999&quot;","1500"
"10342","F","1966","single","&quot;B: 30,000 - 49,999&quot;","1500"
"13898","F","1948","married","&quot;B: 30,000 - 49,999&quot;","1500"
"17453","F","1969","","&quot;B: 30,000 - 49,999&quot;","1500"
"21009","F","1962","single","&quot;B: 30,000 - 49,999&quot;","1500"
"24565","F","1936","married","&quot;B: 30,000 - 49,999&quot;","1500"
"28120","F","1953","","&quot;B: 30,000 - 49,999&quot;","1500"
"31675","F","1980","single","&quot;B: 30,000 - 49,999&quot;","1500"
"35231","F","1971","married","&quot;B: 30,000 - 49,999&quot;","1500"
"37898","F","1929","married","&quot;B: 30,000 - 49,999&quot;","3000"
"41453","F","1939","","&quot;B: 30,000 - 49,999&quot;","1500"
"45008","F","1970","single","&quot;B: 30,000 - 49,999&quot;","1500"
"7725","F","1930","single","&quot;B: 30,000 - 49,999&quot;","1500"
"43280","F","1951","married","&quot;B: 30,000 - 49,999&quot;","1500"
"48787","F","1921","","&quot;B: 30,000 - 49,999&quot;","1500"
"2343","F","1941","single","&quot;B: 30,000 - 49,999&quot;","1500"
"5898","F","1943","married","&quot;B: 30,000 - 49,999&quot;","1500"
"9453","F","1923","","&quot;B: 30,000 - 49,999&quot;","1500"
"13009","F","1928","single","&quot;B: 30,000 - 49,999&quot;","1500"
"16565","F","1927","married","&quot;B: 30,000 - 49,999&quot;","3000"
"20120","F","1957","","&quot;B: 30,000 - 49,999&quot;","1500"
"23676","F","1976","single","&quot;B: 30,000 - 49,999&quot;","1500"
"27231","F","1924","married","&quot;B: 30,000 - 49,999&quot;","3000"
"30786","F","1963","","&quot;B: 30,000 - 49,999&quot;","1500"
"34343","F","1979","single","&quot;B: 30,000 - 49,999&quot;","1500"
"36120","F","1965","","&quot;B: 30,000 - 49,999&quot;","1500"
"39675","F","1956","single","&quot;B: 30,000 - 49,999&quot;","1500"
"43231","F","1967","married","&quot;B: 30,000 - 49,999&quot;","1500"
"25503","F","1934","","&quot;B: 30,000 - 49,999&quot;","1500"
"47009","F","1940","single","&quot;B: 30,000 - 49,999&quot;","1500"
"50564","F","1931","married","&quot;B: 30,000 - 49,999&quot;","1500"
"4120","F","1973","","&quot;B: 30,000 - 49,999&quot;","1500"
"44116","M","1956","","&quot;K: 250,000 - 299,999&quot;","15000"
"34359","M","1971","married","&quot;K: 250,000 - 299,999&quot;","11000"
"47895","M","1963","married","&quot;K: 250,000 - 299,999&quot;","7000"
"1451","M","1962","single","&quot;K: 250,000 - 299,999&quot;","15000"
"5006","M","1989","","&quot;K: 250,000 - 299,999&quot;","11000"
"8561","M","1980","married","&quot;K: 250,000 - 299,999&quot;","7000"
"12118","M","1968","single","&quot;K: 250,000 - 299,999&quot;","15000"
"15673","M","1958","single","&quot;K: 250,000 - 299,999&quot;","11000"
"19228","M","1981","married","&quot;K: 250,000 - 299,999&quot;","7000"
"48803","M","1978","single","&quot;K: 250,000 - 299,999&quot;","15000"
"22783","M","1961","single","&quot;K: 250,000 - 299,999&quot;","15000"
"26339","M","1958","single","&quot;K: 250,000 - 299,999&quot;","11000"
"29895","M","1958","married","&quot;K: 250,000 - 299,999&quot;","7000"
"33450","M","1982","single","&quot;K: 250,000 - 299,999&quot;","15000"
"37895","M","1955","married","&quot;K: 250,000 - 299,999&quot;","7000"
"41450","M","1964","single","&quot;K: 250,000 - 299,999&quot;","15000"
"45005","M","1960","single","&quot;K: 250,000 - 299,999&quot;","11000"
"7692","M","1967","married","&quot;K: 250,000 - 299,999&quot;","11000"
"43247","M","1973","married","&quot;K: 250,000 - 299,999&quot;","7000"
"48784","M","1962","single","&quot;K: 250,000 - 299,999&quot;","15000"
"2340","M","1959","single","&quot;K: 250,000 - 299,999&quot;","11000"
"5895","M","1955","married","&quot;K: 250,000 - 299,999&quot;","7000"
"9450","M","1974","single","&quot;K: 250,000 - 299,999&quot;","15000"
"13006","M","1965","married","&quot;K: 250,000 - 299,999&quot;","11000"
"16562","M","1976","married","&quot;K: 250,000 - 299,999&quot;","7000"
"20117","M","1970","single","&quot;K: 250,000 - 299,999&quot;","15000"
"23673","M","1987","","&quot;K: 250,000 - 299,999&quot;","11000"
"27228","M","1956","married","&quot;K: 250,000 - 299,999&quot;","7000"
"30783","M","1959","","&quot;K: 250,000 - 299,999&quot;","15000"
"36115","M","1936","married","&quot;B: 30,000 - 49,999&quot;","5000"
"39670","M","1953","","&quot;B: 30,000 - 49,999&quot;","1500"
"43226","M","1980","single","&quot;B: 30,000 - 49,999&quot;","3000"
"25448","M","1929","married","&quot;B: 30,000 - 49,999&quot;","7000"
"47004","M","1939","","&quot;B: 30,000 - 49,999&quot;","1500"
"50559","M","1970","single","&quot;B: 30,000 - 49,999&quot;","3000"
"4115","M","1968","married","&quot;B: 30,000 - 49,999&quot;","5000"
"7671","M","1928","","&quot;B: 30,000 - 49,999&quot;","1500"
"11226","M","1942","single","&quot;B: 30,000 - 49,999&quot;","3000"
"14782","M","1960","married","&quot;B: 30,000 - 49,999&quot;","5000"
"18337","M","1945","","&quot;B: 30,000 - 49,999&quot;","1500"
"21892","M","1966","single","&quot;B: 30,000 - 49,999&quot;","3000"
"25449","M","1948","married","&quot;B: 30,000 - 49,999&quot;","5000"
"29004","M","1969","","&quot;B: 30,000 - 49,999&quot;","1500"
"32559","M","1962","single","&quot;B: 30,000 - 49,999&quot;","3000"
"37004","M","1926","","&quot;B: 30,000 - 49,999&quot;","1500"
"40559","M","1932","single","&quot;B: 30,000 - 49,999&quot;","3000"
"44114","M","1946","married","&quot;B: 30,000 - 49,999&quot;","5000"
"34337","M","1959","","&quot;B: 30,000 - 49,999&quot;","1500"
"47893","M","1922","single","&quot;B: 30,000 - 49,999&quot;","5000"
"1449","M","1972","married","&quot;B: 30,000 - 49,999&quot;","5000"
"5004","M","1934","","&quot;B: 30,000 - 49,999&quot;","1500"
"8559","M","1940","single","&quot;B: 30,000 - 49,999&quot;","3000"
"12116","M","1931","married","&quot;B: 30,000 - 49,999&quot;","5000"
"15671","M","1973","","&quot;B: 30,000 - 49,999&quot;","1500"
"19226","M","1944","single","&quot;B: 30,000 - 49,999&quot;","3000"
"48781","M","1971","married","&quot;B: 30,000 - 49,999&quot;","5000"
"22781","M","1941","married","&quot;B: 30,000 - 49,999&quot;","5000"
"26337","M","1938","","&quot;B: 30,000 - 49,999&quot;","1500"
"29893","M","1958","single","&quot;B: 30,000 - 49,999&quot;","3000"
"33448","M","1964","married","&quot;B: 30,000 - 49,999&quot;","5000"
"37893","M","1954","single","&quot;B: 30,000 - 49,999&quot;","3000"
"41448","M","1949","married","&quot;B: 30,000 - 49,999&quot;","5000"
"45003","M","1955","","&quot;B: 30,000 - 49,999&quot;","1500"
"7670","M","1965","","&quot;B: 30,000 - 49,999&quot;","1500"
"43225","M","1956","single","&quot;B: 30,000 - 49,999&quot;","3000"
"48782","M","1967","married","&quot;B: 30,000 - 49,999&quot;","5000"
"2338","M","1961","","&quot;B: 30,000 - 49,999&quot;","1500"
"5893","M","1978","single","&quot;B: 30,000 - 49,999&quot;","3000"
"9448","M","1947","married","&quot;B: 30,000 - 49,999&quot;","5000"
"13004","M","1950","","&quot;B: 30,000 - 49,999&quot;","1500"
"16560","M","1935","single","&quot;B: 30,000 - 49,999&quot;","3000"
"20115","M","1937","married","&quot;B: 30,000 - 49,999&quot;","5000"
"23671","M","1937","","&quot;B: 30,000 - 49,999&quot;","1500"
"27226","M","1933","single","&quot;B: 30,000 - 49,999&quot;","3000"
"30781","M","1977","married","&quot;B: 30,000 - 49,999&quot;","5000"
"34338","M","1952","","&quot;B: 30,000 - 49,999&quot;","1500"
"38782","M","1924","married","&quot;B: 30,000 - 49,999&quot;","7000"
"42337","M","1963","","&quot;B: 30,000 - 49,999&quot;","1500"
"16559","M","1925","single","&quot;B: 30,000 - 49,999&quot;","5000"
"46115","M","1974","married","&quot;B: 30,000 - 49,999&quot;","5000"
"49670","M","1975","","&quot;B: 30,000 - 49,999&quot;","1500"
"3227","M","1930","single","&quot;B: 30,000 - 49,999&quot;","3000"
"6782","M","1951","married","&quot;B: 30,000 - 49,999&quot;","5000"
"10337","M","1921","","&quot;B: 30,000 - 49,999&quot;","1500"
"13893","M","1941","single","&quot;B: 30,000 - 49,999&quot;","3000"
"17448","M","1943","married","&quot;B: 30,000 - 49,999&quot;","5000"
"21004","M","1923","","&quot;B: 30,000 - 49,999&quot;","1500"
"24560","M","1928","single","&quot;B: 30,000 - 49,999&quot;","5000"
"28115","M","1927","married","&quot;B: 30,000 - 49,999&quot;","7000"
"31670","M","1957","","&quot;B: 30,000 - 49,999&quot;","1500"
"35226","M","1976","single","&quot;B: 30,000 - 49,999&quot;","3000"
"37894","M","1974","","&quot;G: 130,000 - 149,999&quot;","7000"
"41449","M","1967","single","&quot;G: 130,000 - 149,999&quot;","9000"
"45004","M","1951","married","&quot;G: 130,000 - 149,999&quot;","1500"
"7681","M","1944","married","&quot;G: 130,000 - 149,999&quot;","3000"
"43236","M","1968","","&quot;G: 130,000 - 149,999&quot;","7000"
"48783","M","1984","single","&quot;G: 130,000 - 149,999&quot;","9000"
"2339","M","1944","married","&quot;G: 130,000 - 149,999&quot;","3000"
"5894","M","1949","","&quot;G: 130,000 - 149,999&quot;","9000"
"9449","M","1975","single","&quot;G: 130,000 - 149,999&quot;","9000"
"13005","M","1973","married","&quot;G: 130,000 - 149,999&quot;","1500"
"16561","M","1943","","&quot;G: 130,000 - 149,999&quot;","9000"
"20116","M","1947","single","&quot;G: 130,000 - 149,999&quot;","11000"
"23672","M","1965","married","&quot;G: 130,000 - 149,999&quot;","1500"
"27227","M","1950","","&quot;G: 130,000 - 149,999&quot;","7000"
"30782","M","1971","single","&quot;G: 130,000 - 149,999&quot;","9000"
"34339","M","1953","married","&quot;G: 130,000 - 149,999&quot;","1500"
"37005","M","1947","married","&quot;G: 130,000 - 149,999&quot;","3000"
"40560","M","1962","","&quot;G: 130,000 - 149,999&quot;","7000"
"44115","M","1981","single","&quot;G: 130,000 - 149,999&quot;","9000"
"34348","M","1954","married","&quot;G: 130,000 - 149,999&quot;","1500"
"47894","M","1960","","&quot;G: 130,000 - 149,999&quot;","7000"
"1450","M","1945","single","&quot;G: 130,000 - 149,999&quot;","11000"
"5005","M","1979","married","&quot;G: 130,000 - 149,999&quot;","1500"
"8560","M","1980","","&quot;G: 130,000 - 149,999&quot;","7000"
"12117","M","1945","single","&quot;G: 130,000 - 149,999&quot;","11000"
"15672","M","1956","married","&quot;G: 130,000 - 149,999&quot;","1500"
"19227","M","1941","","&quot;G: 130,000 - 149,999&quot;","9000"
"48792","M","1959","single","&quot;G: 130,000 - 149,999&quot;","9000"
"22782","M","1946","single","&quot;G: 130,000 - 149,999&quot;","11000"
"26338","M","1948","married","&quot;G: 130,000 - 149,999&quot;","3000"
"29894","M","1943","","&quot;G: 130,000 - 149,999&quot;","9000"
"33449","M","1948","single","&quot;G: 130,000 - 149,999&quot;","11000"
"36116","M","1948","single","&quot;G: 130,000 - 149,999&quot;","11000"
"39671","M","1982","married","&quot;G: 130,000 - 149,999&quot;","1500"
"43227","M","1957","","&quot;G: 130,000 - 149,999&quot;","7000"
"25459","M","1947","single","&quot;G: 130,000 - 149,999&quot;","11000"
"47005","M","1951","married","&quot;G: 130,000 - 149,999&quot;","1500"
"50560","M","1970","","&quot;G: 130,000 - 149,999&quot;","7000"
"4116","M","1961","single","&quot;G: 130,000 - 149,999&quot;","9000"
"7672","M","1972","married","&quot;G: 130,000 - 149,999&quot;","1500"
"34414","F","1948","married","&quot;D: 70,000 - 89,999&quot;","1500"
"47900","F","1967","","&quot;D: 70,000 - 89,999&quot;","7000"
"1456","F","1958","single","&quot;D: 70,000 - 89,999&quot;","9000"
"5011","F","1969","married","&quot;D: 70,000 - 89,999&quot;","1500"
"8566","F","1963","","&quot;D: 70,000 - 89,999&quot;","7000"
"12123","F","1980","single","&quot;D: 70,000 - 89,999&quot;","9000"
"15678","F","1949","married","&quot;D: 70,000 - 89,999&quot;","1500"
"19233","F","1952","","&quot;D: 70,000 - 89,999&quot;","7000"
"48858","F","1938","single","&quot;D: 70,000 - 89,999&quot;","9000"
"22788","F","1941","single","&quot;D: 70,000 - 89,999&quot;","9000"
"26344","F","1941","married","&quot;D: 70,000 - 89,999&quot;","1500"
"29900","F","1943","","&quot;D: 70,000 - 89,999&quot;","7000"
"33455","F","1939","single","&quot;D: 70,000 - 89,999&quot;","9000"
"36122","F","1960","single","&quot;D: 70,000 - 89,999&quot;","9000"
"39677","F","1966","married","&quot;D: 70,000 - 89,999&quot;","1500"
"43233","F","1934","","&quot;D: 70,000 - 89,999&quot;","7000"
"25525","F","1982","single","&quot;D: 70,000 - 89,999&quot;","9000"
"47011","F","1973","married","&quot;D: 70,000 - 89,999&quot;","1500"
"50566","F","1961","","&quot;D: 70,000 - 89,999&quot;","7000"
"4122","F","1930","single","&quot;D: 70,000 - 89,999&quot;","9000"
"7678","F","1974","married","&quot;D: 70,000 - 89,999&quot;","1500"
"11233","F","1940","","&quot;D: 70,000 - 89,999&quot;","7000"
"14789","F","1944","single","&quot;D: 70,000 - 89,999&quot;","9000"
"18344","F","1937","married","&quot;D: 70,000 - 89,999&quot;","1500"
"47668","F","1955","","&quot;D: 70,000 - 89,999&quot;","7000"
"21899","F","1975","","&quot;D: 70,000 - 89,999&quot;","7000"
"25456","F","1946","single","&quot;D: 70,000 - 89,999&quot;","9000"
"29011","F","1945","married","&quot;D: 70,000 - 89,999&quot;","1500"
"32566","F","1942","","&quot;D: 70,000 - 89,999&quot;","7000"
"37904","F","1955","single","&quot;I: 170,000 - 189,999&quot;","10000"
"41459","F","1954","single","&quot;I: 170,000 - 189,999&quot;","3000"
"45014","F","1952","single","&quot;I: 170,000 - 189,999&quot;","5000"
"7781","F","1967","single","&quot;I: 170,000 - 189,999&quot;","5000"
"43336","F","1952","single","&quot;I: 170,000 - 189,999&quot;","10000"
"48793","F","1973","single","&quot;I: 170,000 - 189,999&quot;","3000"
"2349","F","1955","single","&quot;I: 170,000 - 189,999&quot;","5000"
"5904","F","1976","single","&quot;I: 170,000 - 189,999&quot;","10000"
"9459","F","1969","single","&quot;I: 170,000 - 189,999&quot;","3000"
"13015","F","1957","single","&quot;I: 170,000 - 189,999&quot;","5000"
"16571","F","1960","single","&quot;I: 170,000 - 189,999&quot;","10000"
"20126","F","1987","single","&quot;I: 170,000 - 189,999&quot;","3000"
"23682","F","1978","single","&quot;I: 170,000 - 189,999&quot;","5000"
"34448","F","1950","single","&quot;I: 170,000 - 189,999&quot;","5000"
"47904","F","1951","single","&quot;I: 170,000 - 189,999&quot;","10000"
"1460","F","1956","single","&quot;I: 170,000 - 189,999&quot;","3000"
"7676","F","1944","single","&quot;B: 30,000 - 49,999&quot;","1500"
"11231","F","1941","married","&quot;B: 30,000 - 49,999&quot;","1500"
"14787","F","1938","","&quot;B: 30,000 - 49,999&quot;","1500"
"18342","F","1958","single","&quot;B: 30,000 - 49,999&quot;","1500"
"45445","F","1972","married","&quot;B: 30,000 - 49,999&quot;","1500"
"21897","F","1964","married","&quot;B: 30,000 - 49,999&quot;","1500"
"25454","F","1926","","&quot;B: 30,000 - 49,999&quot;","1500"
"29009","F","1932","single","&quot;B: 30,000 - 49,999&quot;","1500"
"32564","F","1946","married","&quot;B: 30,000 - 49,999&quot;","1500"
"37899","F","1953","single","&quot;I: 170,000 - 189,999&quot;","3000"
"41454","F","1953","single","&quot;I: 170,000 - 189,999&quot;","5000"
"45009","F","1972","single","&quot;I: 170,000 - 189,999&quot;","10000"
"7736","F","1966","single","&quot;I: 170,000 - 189,999&quot;","10000"
"43291","F","1950","single","&quot;I: 170,000 - 189,999&quot;","3000"
"48788","F","1979","single","&quot;I: 170,000 - 189,999&quot;","5000"
"2344","F","1955","single","&quot;I: 170,000 - 189,999&quot;","10000"
"5899","F","1954","single","&quot;I: 170,000 - 189,999&quot;","3000"
"9454","F","1952","single","&quot;I: 170,000 - 189,999&quot;","5000"
"13010","F","1980","single","&quot;I: 170,000 - 189,999&quot;","10000"
"16566","F","1951","single","&quot;I: 170,000 - 189,999&quot;","3000"
"20121","F","1955","single","&quot;I: 170,000 - 189,999&quot;","5000"
"23677","F","1952","single","&quot;I: 170,000 - 189,999&quot;","10000"
"27232","F","1965","single","&quot;I: 170,000 - 189,999&quot;","3000"
"30787","F","1971","single","&quot;I: 170,000 - 189,999&quot;","5000"
"34344","F","1954","single","&quot;I: 170,000 - 189,999&quot;","10000"
"38788","F","1956","single","&quot;I: 170,000 - 189,999&quot;","5000"
"42343","F","1962","single","&quot;I: 170,000 - 189,999&quot;","10000"
"16625","F","1963","single","&quot;I: 170,000 - 189,999&quot;","3000"
"46121","F","1974","single","&quot;I: 170,000 - 189,999&quot;","5000"
"49676","F","1968","single","&quot;I: 170,000 - 189,999&quot;","10000"
"3233","F","1985","single","&quot;I: 170,000 - 189,999&quot;","3000"
"6788","F","1954","single","&quot;I: 170,000 - 189,999&quot;","5000"
"10343","F","1957","single","&quot;I: 170,000 - 189,999&quot;","10000"
"13899","F","1956","single","&quot;I: 170,000 - 189,999&quot;","3000"
"17454","F","1951","single","&quot;I: 170,000 - 189,999&quot;","5000"
"21010","F","1958","single","&quot;I: 170,000 - 189,999&quot;","10000"
"24566","F","1954","single","&quot;I: 170,000 - 189,999&quot;","3000"
"28121","F","1984","single","&quot;I: 170,000 - 189,999&quot;","5000"
"31676","F","1959","single","&quot;I: 170,000 - 189,999&quot;","10000"
"35232","F","1961","single","&quot;I: 170,000 - 189,999&quot;","3000"
"36121","F","1952","single","&quot;I: 170,000 - 189,999&quot;","5000"
"39676","F","1970","single","&quot;I: 170,000 - 189,999&quot;","10000"
"43232","F","1986","single","&quot;I: 170,000 - 189,999&quot;","3000"
"25514","F","1981","single","&quot;I: 170,000 - 189,999&quot;","5000"
"47010","F","1982","single","&quot;I: 170,000 - 189,999&quot;","10000"
"50565","F","1951","single","&quot;I: 170,000 - 189,999&quot;","3000"
"4121","F","1958","single","&quot;I: 170,000 - 189,999&quot;","5000"
"7677","F","1949","single","&quot;I: 170,000 - 189,999&quot;","15000"
"11232","F","1948","single","&quot;I: 170,000 - 189,999&quot;","5000"
"14788","F","1950","single","&quot;I: 170,000 - 189,999&quot;","5000"
"18343","F","1951","single","&quot;I: 170,000 - 189,999&quot;","10000"
"46557","F","1953","single","&quot;I: 170,000 - 189,999&quot;","3000"
"21898","F","1956","single","&quot;I: 170,000 - 189,999&quot;","3000"
"25455","F","1955","single","&quot;I: 170,000 - 189,999&quot;","5000"
"29010","F","1964","single","&quot;I: 170,000 - 189,999&quot;","10000"
"32565","F","1983","single","&quot;I: 170,000 - 189,999&quot;","3000"
"37010","F","1960","single","&quot;I: 170,000 - 189,999&quot;","10000"
"40565","F","1987","single","&quot;I: 170,000 - 189,999&quot;","3000"
"44120","F","1978","single","&quot;I: 170,000 - 189,999&quot;","5000"
"34403","F","1953","single","&quot;I: 170,000 - 189,999&quot;","10000"
"47899","F","1977","single","&quot;I: 170,000 - 189,999&quot;","3000"
"1455","F","1975","single","&quot;I: 170,000 - 189,999&quot;","5000"
"5010","F","1949","single","&quot;I: 170,000 - 189,999&quot;","15000"
"8565","F","1949","single","&quot;I: 170,000 - 189,999&quot;","5000"
"12122","F","1967","single","&quot;I: 170,000 - 189,999&quot;","5000"
"15677","F","1952","single","&quot;I: 170,000 - 189,999&quot;","10000"
"19232","F","1973","single","&quot;I: 170,000 - 189,999&quot;","3000"
"48847","F","1950","single","&quot;I: 170,000 - 189,999&quot;","5000"
"22787","F","1955","single","&quot;I: 170,000 - 189,999&quot;","5000"
"26343","F","1976","single","&quot;I: 170,000 - 189,999&quot;","10000"
"29899","F","1969","single","&quot;I: 170,000 - 189,999&quot;","3000"
"33454","F","1957","single","&quot;I: 170,000 - 189,999&quot;","5000"
"37013","M","1956","single","&quot;H: 150,000 - 169,999&quot;","7000"
"40568","M","1953","single","&quot;H: 150,000 - 169,999&quot;","9000"
"44123","M","1949","single","&quot;H: 150,000 - 169,999&quot;","3000"
"34436","M","1950","single","&quot;H: 150,000 - 169,999&quot;","7000"
"47902","M","1964","single","&quot;H: 150,000 - 169,999&quot;","9000"
"1458","M","1970","single","&quot;H: 150,000 - 169,999&quot;","1500"
"5013","M","1950","single","&quot;H: 150,000 - 169,999&quot;","7000"
"8568","M","1950","single","&quot;H: 150,000 - 169,999&quot;","9000"
"12125","M","1952","single","&quot;H: 150,000 - 169,999&quot;","1500"
"15680","M","1971","single","&quot;H: 150,000 - 169,999&quot;","7000"
"19235","M","1962","single","&quot;H: 150,000 - 169,999&quot;","9000"
"48880","M","1953","single","&quot;H: 150,000 - 169,999&quot;","1500"
"22790","M","1973","single","&quot;H: 150,000 - 169,999&quot;","1500"
"26346","M","1967","single","&quot;H: 150,000 - 169,999&quot;","7000"
"29902","M","1984","single","&quot;H: 150,000 - 169,999&quot;","9000"
"33457","M","1953","single","&quot;H: 150,000 - 169,999&quot;","1500"
"37902","M","1947","single","&quot;H: 150,000 - 169,999&quot;","11000"
"41457","M","1949","single","&quot;H: 150,000 - 169,999&quot;","3000"
"45012","M","1947","single","&quot;H: 150,000 - 169,999&quot;","9000"
"7769","M","1955","single","&quot;H: 150,000 - 169,999&quot;","7000"
"43324","M","1951","single","&quot;H: 150,000 - 169,999&quot;","9000"
"48791","M","1983","single","&quot;H: 150,000 - 169,999&quot;","1500"
"2347","M","1958","single","&quot;H: 150,000 - 169,999&quot;","7000"
"5902","M","1960","single","&quot;H: 150,000 - 169,999&quot;","9000"
"9457","M","1955","single","&quot;H: 150,000 - 169,999&quot;","1500"
"13013","M","1961","single","&quot;H: 150,000 - 169,999&quot;","7000"
"16569","M","1949","single","&quot;H: 150,000 - 169,999&quot;","11000"
"20124","M","1980","single","&quot;H: 150,000 - 169,999&quot;","1500"
"23680","M","1981","single","&quot;H: 150,000 - 169,999&quot;","7000"
"27235","M","1948","single","&quot;H: 150,000 - 169,999&quot;","11000"
"30790","M","1957","single","&quot;H: 150,000 - 169,999&quot;","1500"
"34347","M","1945","single","&quot;H: 150,000 - 169,999&quot;","9000"
"36124","M","1949","single","&quot;H: 150,000 - 169,999&quot;","3000"
"39679","M","1979","single","&quot;H: 150,000 - 169,999&quot;","7000"
"43235","M","1950","single","&quot;H: 150,000 - 169,999&quot;","9000"
"25547","M","1954","single","&quot;H: 150,000 - 169,999&quot;","1500"
"47013","M","1975","single","&quot;H: 150,000 - 169,999&quot;","7000"
"50568","M","1968","single","&quot;H: 150,000 - 169,999&quot;","9000"
"4124","M","1954","single","&quot;H: 150,000 - 169,999&quot;","1500"
"7680","M","1959","single","&quot;H: 150,000 - 169,999&quot;","7000"
"11235","M","1986","single","&quot;H: 150,000 - 169,999&quot;","9000"
"14791","M","1977","single","&quot;H: 150,000 - 169,999&quot;","1500"
"18346","M","1965","single","&quot;H: 150,000 - 169,999&quot;","7000"
"49890","M","1972","single","&quot;H: 150,000 - 169,999&quot;","9000"
"21901","M","1946","single","&quot;H: 150,000 - 169,999&quot;","11000"
"25458","M","1978","single","&quot;H: 150,000 - 169,999&quot;","1500"
"29013","M","1952","single","&quot;H: 150,000 - 169,999&quot;","7000"
"32568","M","1952","single","&quot;H: 150,000 - 169,999&quot;","9000"
"38791","M","1966","single","&quot;H: 150,000 - 169,999&quot;","1500"
"34340","M","1962","married","&quot;K: 250,000 - 299,999&quot;","11000"
